00-avengers-company_business,04-iGMM-company_business
"['consumer cyclical', 'jewellery', 'watches', 'consumer goods', 'luxury goods']","['financial services', 'insurance']"
"['financial services', 'insurance']","['consumer cyclical', 'jewellery', 'watches']"
"['healthcare', 'pharmaceutical', 'healthcare products', 'biotechnology', 'technology']","['technology', 'electrical products', 'refrigerators']"
"['financial services', 'investments', 'asset management']","['basic materials', 'paints and coatings', 'construction materials']"
"['industries', 'rail transport', 'real estate', 'transportation', 'railway']","['professional services', 'consulting services', 'business services']"
"['financial services', 'banking services', 'asset management', 'wealth management', 'securities', 'credit cards', 'insurance']","['consumer cyclical', 'luxury goods', 'watches']"
"['real estate', 'infrastructure', 'cell towers infrastructure', 'consumer services', 'property investments']","['basic materials', 'chemicals', 'gas supply']"
"['basic materials', 'chemicals', 'gas supply', 'engineering products', 'engineering services']","['real estate', 'infrastructure', 'cell towers infrastructure']"
"['consumer cyclical', 'luxury goods', 'watches', 'leather products', 'clothing', 'readymade clothing', 'pens & stationery', 'consumer goods', 'fashion and luxury goods']","['financial services', 'banking services', 'asset management']"
"['professional services', 'consulting services', 'business services', 'accounting and auditing']","['industries', 'rail transport', 'real estate']"
"['basic materials', 'paints and coatings', 'construction materials', 'retail', 'consumer services', 'chemicals']","['financial services', 'investments', 'asset management']"
"['technology', 'electrical products', 'refrigerators', 'electronics', 'home furnishing']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['insurance', 'investments']","['financial services', 'healthcare service', 'insurance']"
"['financial services', 'banking services']","['retail', 'super markets', 'hypermarkets']"
"['utilities', 'electric utilities', 'electricity generation', 'power generation', 'energy']","['energy', 'oil and gas', 'natural gas generation']"
"['technology', 'transportation', 'consumer services', 'software and it', 'software products', 'ride sharing']","['communication services', 'investments', 'telecom']"
"['financial services', 'securities', 'trading', 'brokerage services', 'investments', 'stock markets, trading, capital markets']","['healthcare', 'medical equipment', 'healthcare products']"
"['healthcare', 'medical equipment', 'healthcare products', 'technology', 'health care diagnostics']","['financial services', 'securities', 'trading']"
"['communication services', 'investments', 'telecom', 'internet providers', 'fixed line service', 'semiconductors', 'ecommerce', 'internet of things', 'internet or mobile app based business', 'artificial intelligence', 'automation', 'robotics', 'technology', 'conglomerate']","['technology', 'transportation', 'consumer services']"
"['energy', 'oil and gas', 'natural gas generation', 'gas utilities', 'utilities', 'renewable energy', 'electricity generation', 'solar power', 'wind power', 'hydro-electric power', 'power generation']","['utilities', 'electric utilities', 'electricity generation']"
"['retail', 'super markets', 'hypermarkets']","['financial services', 'banking services']"
"['financial services', 'healthcare service', 'insurance', 'investments']","['insurance', 'investments']"
"['financial services', 'investments', 'asset management']","['utilities', 'electric utilities', 'gas utilities']"
"['energy', 'oil and gas', 'chemicals', 'petrochemicals', 'fertilizers', 'natural gas generation', 'lubricants']","['financial services', 'banking services']"
"['industries', 'capital goods', 'construction equipment', 'electrical products', 'machinery manufacturing', 'industry machinery']","['utilities', 'electricity generation', 'electric utilities']"
"['healthcare', 'hospitals', 'healthcare products', 'healthcare service']","['financial services', 'banking services', 'asset management']"
"['telecom', 'mobile services', 'internet providers']","['industries', 'courier', 'logistics']"
"['industries', 'courier', 'logistics', 'freight transport']","['telecom', 'mobile services', 'internet providers']"
"['financial services', 'banking services', 'asset management', 'wealth management', 'credit cards', 'investments', 'mortgage']","['healthcare', 'hospitals', 'healthcare products']"
"['utilities', 'electricity generation', 'electric utilities', 'energy']","['industries', 'capital goods', 'construction equipment']"
"['financial services', 'banking services']","['energy', 'oil and gas', 'chemicals']"
"['utilities', 'electric utilities', 'gas utilities', 'electricity generation', 'power generation', 'energy']","['financial services', 'investments', 'asset management']"
"['automobile', 'electric vehicles', 'batteries', 'sports vehicles', 'trucks']","['healthcare', 'insurance', 'healthcare service']"
"['consumer defensive', 'fmcg', 'food products', 'personal care products', 'consumer goods']","['industries', 'machinery manufacturing', 'automobile parts']"
"['healthcare', 'medical equipment', 'healthcare products']","['technology', 'software and it', 'software products']"
"['technology', 'software and it', 'software products']","['healthcare', 'medical equipment', 'healthcare products']"
"['industries', 'machinery manufacturing', 'automobile parts', 'home appliances', 'electrical products', 'electronics', 'adhesives', 'technology', 'construction materials', 'automobile', 'manufacturing', 'industry machinery']","['consumer defensive', 'fmcg', 'food products']"
"['healthcare', 'insurance', 'healthcare service', 'healthcare products']","['automobile', 'electric vehicles', 'batteries']"
"['financial services', 'commodities trading', 'stock markets, trading, capital markets', 'investments', 'trading']","['industries', 'electronics', 'electrical products']"
"['technology', 'digital payment solution services', 'software products', 'software and it', 'software and it infrastructure']","['energy', 'oil and gas', 'petroleum']"
"['energy', 'oil and gas', 'petroleum', 'petrochemicals', 'natural gas generation', 'oil refining', 'chemicals']","['technology', 'digital payment solution services', 'software products']"
"['industries', 'electronics', 'electrical products', 'engineering products', 'technology hardware and instruments', 'automation', 'robotics', 'consumer durables', 'technology', 'electric vehicle charging station']","['financial services', 'commodities trading', 'stock markets, trading, capital markets']"
"['consumer defensive', 'food products', 'beverages', 'fmcg', 'food and beverage', 'package foods']","['financial services', 'insurance', 'asset management']"
"['industries', 'railway', 'rail transport', 'freight transport', 'railway operating company', 'transportation']","['financial services', 'banking services']"
"['healthcare', 'medical equipment', 'healthcare products', 'medical ventilators']","['financial services', 'banking services', 'wealth management']"
"['utilities', 'electricity generation', 'power generation', 'energy', 'natural gas generation', 'electric utilities', 'gas utilities', 'utilities']","['financial services', 'stock markets, trading, capital markets', 'trading']"
"['technology', 'semiconductors', 'electronics', 'memory products', 'processors / chips', 'technology hardware and instruments']","['technology', 'electronics', 'cameras & accessories']"
"['technology', 'electronics', 'cameras & accessories', 'network hardware and software', 'networking products / solutions', 'video making products', 'computers hardware']","['technology', 'semiconductors', 'electronics']"
"['financial services', 'stock markets, trading, capital markets', 'trading']","['utilities', 'electricity generation', 'power generation']"
"['financial services', 'banking services', 'wealth management', 'credit cards', 'private bank']","['healthcare', 'medical equipment', 'healthcare products']"
"['financial services', 'banking services']","['industries', 'railway', 'rail transport']"
"['financial services', 'insurance', 'asset management']","['consumer defensive', 'food products', 'beverages']"
"['industries', 'railway', 'railway operating company', 'rail transport', 'transportation']","['utilities', 'electric utilities', 'energy']"
