02-GioPonSpiz-industry,03-gren-industry,04-iGMM-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry,02-GioPonSpiz-sector,03-gren-sector,04-iGMM-sector,05-MalPatSaj-sector,06-MarScoToc-sector,07-silvestri-sector,10-DeBiGa-sector
drug manufacturers—general,drug manufacturers—general,oil & gas integrated,drug manufacturers—general,capital markets,banks,healthcare,healthcare,energy,healthcare,financials,healthcare,financials
biotechnology,biotechnology,internet retail,biotechnology,specialty retail,oil & gas e&p,healthcare,healthcare,consumer discretionary,healthcare,consumer discretionary,healthcare,energy
banks,banks,household & personal products,banks,restaurants,utilities—diversified,financials,financials,consumer staples,financials,consumer discretionary,financials,utilities
oil & gas e&p,oil & gas e&p,oil & gas midstream,oil & gas e&p,reithealthcare facilities,chemicals,energy,energy,energy,energy,real estate,energy,basic materials
financial data & stock exchanges,financial data & stock exchanges,grocery stores,financial data & stock exchanges,personal services,consulting services,financials,financials,consumer staples,financials,consumer discretionary,financials,industrials
apparel retail,apparel retail,health information services,apparel retail,asset management,financial data & stock exchanges,consumer discretionary,consumer discretionary,healthcare,consumer discretionary,financials,consumer discretionary,financials
software—application,software—application,internet content & information,software—application,specialty business services,diagnostics & research,technology,technology,communication services,technology,industrials,technology,healthcare
insurance—diversified,insurance—diversified,communication equipment,insurance—diversified,leisure,auto manufacturers,financials,financials,technology,financials,consumer discretionary,financials,consumer discretionary
medical devices,medical devices,auto manufacturers,medical devices,restaurants,internet content & information,healthcare,healthcare,consumer discretionary,healthcare,consumer discretionary,healthcare,communication services
conglomerates,insurance brokers,asset management,insurance brokers,oil & gas refining & marketing,software—infrastructure,industrials,financials,financials,financials,energy,financials,technology
reit—retail,aerospace & defense,utilities—diversified,aerospace & defense,aerospace & defense,discount stores,real estate,industrials,utilities,industrials,industrials,industrials,consumer staples
semiconductors,telecom services,gold,telecom services,asset management,insurance—diversified,technology,communication services,basic materials,communication services,financials,communication services,financials
apparel retail,railroads,building materials,railroads,asset management,oil & gas refining & marketing,consumer discretionary,industrials,basic materials,industrials,financials,industrials,energy
chemicals,copper,software—infrastructure,copper,engineering & construction,railroads,basic materials,basic materials,technology,basic materials,industrials,basic materials,industrials
oil & gas integrated,discount stores,insurance—life,discount stores,softwareapplication,beverages—brewers,energy,consumer staples,financials,consumer staples,technology,consumer staples,consumer staples
